Fid,track_name,size_bytes,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,Development_Duration,Label
10.42.0.151-10.42.0.1-45805-53-17,Facebook,389879808,2974676,212,3.5,3.5,95,4+,Social Networking,37,1,29,1,374,0
174.35.73.135-10.42.0.211-80-41771-6,"Yelp - Nearby Restaurants, Shopping & Services",167407616,223885,3726,4,4.5,11.15.0,12+,Travel,37,5,18,1,88,1
180.149.134.221-10.42.0.42-80-41726-6,"Shazam - Discover music, artists, videos & lyrics",147093504,402925,136,4,4.5,11.0.3,12+,Music,37,3,16,1,240,0
10.42.0.211-10.42.0.1-28008-53-17,Crash Bandicoot Nitro Kart 3D,10735026,31456,4178,4,3.5,1.0.0,4+,Games,47,0,1,1,474,1
10.42.0.211-36.110.213.174-55806-443-6,iQuran,70707916,2929,966,4.5,4.5,3.3,4+,Reference,43,0,2,1,96,1
172.217.11.42-10.42.0.42-443-59418-6,:) Sudoku +,6169600,11447,781,5,5,5.2.6,4+,Games,40,5,1,1,1436,0
203.205.158.66-10.42.0.151-80-55440-6,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,137951,131,4,4.5,6.9,4+,Sports,37,2,6,1,1495,0
10.42.0.211-10.42.0.1-45516-53-17,Mileage Log | Fahrtenbuch,71203840,8,0,4.5,0,9.0.5,4+,Business,37,5,3,1,96,1
10.42.0.211-119.146.74.33-47669-443-6,Cleartune - Chromatic Tuner,11423008,3241,297,4,4,2.1.3,4+,Music,43,2,10,1,348,0
216.58.219.226-10.42.0.211-443-55294-6,Lifesum – Inspiring healthy lifestyle app,188017664,5795,12,3.5,4,8.4.1,4+,Health & Fitness,37,5,11,1,120,1
172.217.3.110-10.42.0.151-443-44237-6,Hangman.,4765696,42316,248,3,3.5,2.0.6,9+,Games,38,0,1,1,96,0
172.217.10.42-10.42.0.211-443-57721-6,iTranslate - Language Translator & Dictionary,287933440,123215,25,3.5,5,10.5.4,4+,Productivity,37,5,23,1,53,1
172.217.8.4-10.42.0.42-443-46715-6,TouchOSC,4263936,782,7,4,3.5,1.9.8,4+,Music,43,1,1,1,90,0
10.42.0.211-106.11.94.27-35349-443-6,RadarScope,172772352,3449,23,4,4.5,3.4.1,4+,Weather,37,5,1,1,386,1
172.217.10.138-10.42.0.42-443-40117-6,LinkedIn,273844224,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23,1,0,0
192.229.173.173-10.42.0.151-80-46598-6,Period Tracker Deluxe,40216576,13350,489,4.5,5,9.6,12+,Health & Fitness,38,0,15,1,57,1
172.217.12.206-10.42.0.211-443-52386-6,Election 2016 Map,2386944,137,0,3,0,5,4+,Entertainment,37,1,1,1,733,0
10.42.0.211-10.42.0.1-52116-53-17,Blackjack by MobilityWare,105431040,180087,1101,3.5,4.5,5.5.3,12+,Games,37,5,5,1,96,1
10.42.0.211-64.71.142.120-37148-443-6,White Noise,44129280,33426,299,4,5,7.2,4+,Health & Fitness,37,5,3,1,1048,0
10.42.0.211-10.42.0.1-11650-53-17,iHeartRadio – Free Music & Radio Stations,116443136,293228,110,4,3,8.0.0,12+,Music,37,5,2,1,106,1
10.42.0.42-125.39.83.108-40521-443-6,Line Rider iRide™,1646592,21609,69,3.5,2.5,2.4,9+,Entertainment,40,0,1,1,75,0
10.42.0.211-106.11.129.143-45644-80-6,Deliveries: a package tracker,30016512,4684,10,4,4,8.0.3,4+,Utilities,37,4,9,1,219,1
172.217.12.132-10.42.0.151-443-33413-6,Hurricane Pro,29518848,2104,0,4.5,0,5.2,17+,Weather,37,0,1,1,711,0
10.42.0.151-10.42.0.1-49656-53-17,Fieldrunners,66872320,41633,6,4,3,1.7.177604,9+,Games,37,0,1,1,1844,1
172.217.12.206-10.42.0.151-443-39666-6,Juxtaposer,45229056,3610,7,4.5,5,3.8.2,4+,Photo & Video,37,5,1,1,1348,0
10.42.0.211-10.42.0.1-8693-53-17,Deezer - Listen to your Favorite Music & Playlists,127470592,4677,12,3,4,6.19.0,12+,Music,37,5,21,1,548,1
205.185.216.42-10.42.0.151-80-41143-6,iStellar,44241920,30,0,3.5,0,2.9.0,4+,Navigation,37,0,2,0,80,1
10.42.0.151-31.13.80.5-35876-443-6,Sonos Controller,107983872,48905,2691,4.5,4.5,7.2,4+,Music,37,4,12,1,395,0
172.217.6.202-10.42.0.151-443-56471-6,Avertinoo,8044544,32,0,3,0,3.9.2,4+,Navigation,38,5,7,1,76,0
10.42.0.211-118.178.143.65-48075-80-6,Google Earth,37214208,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30,1,367,0
10.42.0.211-23.206.166.66-49063-80-6,iFart - The Original Fart Sounds App,60320768,21825,10,3,4,4.0.8,9+,Entertainment,37,5,1,1,1605,1
10.42.0.151-104.254.66.16-54073-80-6,PAC-MAN,100849664,508808,99,3,4.5,6.3.5,4+,Games,38,5,10,1,96,0
10.42.0.42-14.29.93.243-56301-80-6,FOX Sports Mobile,72748032,57500,103,3,4,3.5.13,4+,Sports,37,0,1,0,30,1
10.42.0.42-104.193.88.109-53643-80-6,First Words Animals,32164864,2576,4,4,5,7,4+,Games,38,5,1,1,492,0
216.58.219.202-10.42.0.151-443-36518-6,WeatherPro,69079040,1572,34,4,4.5,4.8.2,4+,Weather,37,0,13,1,579,1
180.163.255.159-10.42.0.211-80-34697-6,HotSchedules,82037760,3292,2,3,5,4.56.1,4+,Business,37,2,2,1,64,0
10.42.0.1-10.42.0.42-53-16366-17,Star Walk - Find Stars And Planets in Sky Above,150195200,8932,55,4.5,5,7.2.3,4+,Education,37,0,12,1,57,1
10.42.0.211-23.194.141.143-55295-443-6,"The Weather Channel: Forecast, Radar & Alerts",199734272,495626,5893,3.5,4.5,8.11,4+,Weather,37,0,33,1,80,0
10.42.0.211-23.7.36.183-36332-80-6,Big Day - Event Countdown,13156352,812,14,3,4,8.2.0,4+,Lifestyle,38,0,7,1,96,1
10.42.0.151-114.134.80.163-44391-80-6,12 Steps AA Companion - Alcoholics Anonymous,30367744,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,37,5,1,1,136,0
174.35.73.134-10.42.0.211-80-38368-6,OpenTable - Restaurant Reservations,93420544,113936,150,4.5,5,10.18.0,4+,Food & Drink,37,1,6,1,96,1
10.42.0.211-118.242.24.59-37885-18013-6,VLC Remote,31505408,2027,2,4,5,9.3,4+,Entertainment,37,5,33,1,310,0
172.217.11.14-10.42.0.211-443-37667-6,gFlashPro - Flashcards & Tests,25997312,768,4,4,4,7.1,4+,Education,37,3,3,1,192,1
10.42.0.211-10.42.0.1-9060-53-17,Lose It! – Weight Loss Program and Calorie Counter,182054912,373835,402,4,4.5,8.0.2,4+,Health & Fitness,37,3,1,1,553,0
180.149.136.194-10.42.0.211-443-60205-6,Target,138754048,108131,13,3,2,8.21.0,4+,Shopping,37,0,1,1,120,1
10.42.0.151-10.42.0.1-23829-53-17,Fish Tycoon,13564835,18943,1787,3.5,4.5,1.1.0,4+,Games,47,0,1,1,108,0
10.42.0.211-74.125.192.188-60319-5228-6,"Amazon App: shop, scan, compare, and read reviews",133688320,126312,22,3.5,3,9.10.0,4+,Shopping,37,5,8,1,96,1
10.42.0.211-95.213.11.181-54022-80-6,Touchgrind,55205888,35735,378,4,4.5,1.5.1,4+,Games,40,0,0,1,54,0
10.42.0.151-64.95.32.26-35204-443-6,ProPresenter Remote,46922752,410,7,3,2.5,4.8.1,4+,Utilities,37,5,1,1,1342,1
216.58.217.67-10.42.0.211-443-54011-6,iReal Pro - Music Book & Play Along,63283200,1390,143,4.5,5,7.0.1,4+,Music,37,5,33,1,96,0
180.149.138.210-10.42.0.211-80-52068-6,NRJ Radio,53426176,38,2,3.5,5,5.2.6,4+,Music,37,5,4,1,236,1
172.217.6.238-10.42.0.151-443-51144-6,Chase Mobile℠,39505920,233270,14625,4.5,4.5,2.61,4+,Finance,37,0,2,1,825,1
199.59.148.73-10.42.0.211-443-39193-6,大辞林,210088960,64,0,4.5,0,4.1.1,4+,Reference,37,5,2,1,116,0
10.42.0.211-74.125.22.188-50270-5228-6,Allrecipes Dinner Spinner,36399104,109349,1540,3.5,5,6.3,12+,Food & Drink,37,5,1,1,80,1
172.217.10.110-10.42.0.42-443-53546-6,新浪新闻-阅读最新时事热门头条资讯视频,115143680,2229,4,3.5,1,6.2.1,17+,News,37,0,1,1,3277,0
183.79.250.251-10.42.0.151-443-37631-6,MotionX GPS,56481792,14970,24,3.5,4.5,24.2,4+,Navigation,37,0,1,1,136,1
172.217.11.42-10.42.0.42-443-58728-6,AccuWeather - Weather for Life,181941248,144214,2162,3.5,4,10.4.1,4+,Weather,37,1,43,1,332,0
10.42.0.211-121.12.98.64-56590-80-6,"Mint: Personal Finance, Budget, Bills & Money",162891776,232940,683,4,4.5,5.9.0,4+,Finance,37,5,1,1,53,1
174.129.31.175-10.42.0.211-443-54768-6,ABC News - US & World News + Live Video,98108416,48407,20,3,3.5,5.16,12+,News,37,0,1,0,57,0
10.42.0.151-74.119.119.68-44489-443-6,Rowmote: Remote Control for Mac,54088704,5531,37,3.5,2.5,4.3,4+,Utilities,40,3,13,1,75,1
10.42.0.151-52.84.135.137-57220-443-6,Peekaboo Barn,50155520,3393,77,4,4,5.1.0,4+,Education,43,5,1,1,53,1
157.55.235.173-10.42.0.42-40024-46360-17,Speedtest by Ookla,23936000,65016,274,3.5,5,3.8.2,4+,Utilities,38,4,17,1,310,0
172.217.9.227-10.42.0.151-443-60656-6,Pocket God,145293312,187529,1071,4,4,1.48.2,9+,Entertainment,43,5,1,1,106,0
216.58.219.202-10.42.0.151-443-46727-6,Nike+ Training Club - Workouts & Fitness Plans,140367872,33969,466,3.5,5,5.4.1,4+,Health & Fitness,37,0,17,1,0,0
10.42.0.151-88.212.196.103-43511-443-6,Citi Mobile®,281244672,48822,193,3.5,4,8.5.0,4+,Finance,37,0,1,1,511,1
10.42.0.211-64.71.142.125-35944-443-6,Phase 10 Pro - Play Your Friends!,66695168,59155,101,4.5,2.5,3.2.0,4+,Games,40,5,1,1,96,0
172.217.10.133-10.42.0.151-443-55487-6,"Kindle – Read eBooks, Magazines & Textbooks",169747456,252076,80,3.5,4.5,5.11,4+,Book,37,5,9,1,124,0
180.76.138.25-10.42.0.211-80-47454-6,MASH,41691136,4913,1,4,4,3.3.2,9+,Games,37,3,15,1,96,1
203.205.158.61-10.42.0.151-80-40903-6,同花顺-炒股、股票,122886144,1744,0,3.5,0,10.10.46,4+,Finance,37,0,1,1,75,1
203.205.179.172-10.42.0.151-80-51767-6,Wedding Dash Deluxe,55803904,16567,1155,4.5,4.5,2.29.13,4+,Games,43,4,1,1,2036,0
10.42.0.42-119.146.74.31-35470-443-6,Beer Pong Game,188956672,187315,9,2,4,17.05.15,17+,Games,37,5,9,1,73,1
10.42.0.151-54.173.220.111-54434-443-6,Tempo - Metronome with Setlists,22185984,4781,1,4.5,5,3.9.2,4+,Music,37,5,10,1,273,0
10.42.0.151-52.22.102.34-53632-443-6,Skat,66160640,94,4,4.5,4.5,11.0.10,4+,Games,37,0,1,1,318,0
10.42.0.211-10.42.0.1-55667-53-17,Color Splash,28135424,29554,55,4,5,3.6.1,4+,Photo & Video,37,0,3,1,96,1
10.42.0.211-10.42.0.1-18693-53-17,Zombieville USA,27962441,32988,2489,4,4,1.7,12+,Games,47,5,1,1,772,0
10.42.0.42-104.244.43.163-43380-443-6,Skype for iPhone,133238784,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32,1,70,0
10.42.0.211-10.42.0.1-7686-53-17,Tumblr,151573504,334293,919,4,4,8.6,17+,Social Networking,37,5,16,1,56,0
172.217.10.106-10.42.0.151-443-48914-6,iSwap Faces,27069440,2302,3,3.5,5,5.1,4+,Photo & Video,37,5,1,1,55,0
219.147.93.205-10.42.0.211-443-34071-6,Match™ - #1 Dating App.,101259264,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10,1,96,0
180.149.136.194-10.42.0.42-80-46051-6,Tozzle - Toddler's favorite puzzle,168192000,2562,10,4,4.5,5.1,4+,Games,37,5,4,1,1480,1
172.217.12.163-10.42.0.42-443-48160-6,HomeBudget with Sync,17485824,3042,6,3.5,4,3.3.0,4+,Finance,37,5,11,1,219,0
220.181.7.190-10.42.0.211-443-33887-6,Wind Meter,5234688,338,12,2.5,2,5,4+,Weather,43,0,1,1,70,0
10.42.0.151-10.42.0.1-40169-53-17,Map My Run+ - GPS Running & Workout Tracker,237913088,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,37,0,9,1,658,0
202.77.129.230-10.42.0.151-80-58558-6,Map My Ride+ - GPS Cycling & Route Tracker,233513984,10046,7,4.5,5,17.5.5,4+,Health & Fitness,37,0,9,1,69,0
172.217.10.46-10.42.0.151-443-41375-6,"HuffPost - News, Politics & Entertainment",110420992,29107,85,3,4,11.2,12+,News,37,5,10,1,73,1
157.240.2.36-10.42.0.211-443-32813-6,Phrase Party!,47774720,878,48,4,4.5,8.7.5,17+,Games,38,5,1,1,96,0
10.42.0.151-10.42.0.1-12291-53-17,Minesweeper Classic,22259712,1140,20,3.5,3.5,3.6,4+,Games,37,4,1,1,53,0
156.154.200.36-10.42.0.211-443-36404-6,Sally's Spa,431771648,35074,403,4.5,4,3.3.0,4+,Games,43,0,6,1,11477,1
10.42.0.1-10.42.0.42-53-35050-17,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,59639,11,3,2.5,10.2.2,17+,Sports,37,4,1,1,0,0
162.208.22.39-10.42.0.211-443-57667-6,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,2913,357,4,5,7.4,4+,Health & Fitness,43,5,1,1,2085,0
180.149.136.194-10.42.0.211-80-52226-6,iSwap Faces LITE,30796800,39722,0,3,0,5.1,4+,Photo & Video,37,5,1,1,0,0
10.42.0.211-77.234.44.199-51601-80-6,DIRECTV,151397376,81006,25,3.5,3,4.9.705,4+,Entertainment,37,0,1,1,84,0
10.42.0.151-119.146.74.33-41908-443-6,NYTimes Crossword - Daily Word Puzzle Game,46880768,53465,204,3.5,4,2.8.1,4+,Games,37,5,1,1,96,1
10.42.0.151-104.244.43.99-50129-443-6,Doodle Jump,48741376,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1,1,159,1
175.100.207.233-10.42.0.211-80-47310-6,LEDit – The LED Banner App,17145856,2021,147,4.5,4.5,3.5.1,4+,Utilities,37,4,12,1,80,1
10.42.0.211-54.192.36.221-37415-443-6,niconico,25808896,182,0,3,0,6.52,17+,Entertainment,37,5,3,1,96,0
157.240.3.19-10.42.0.211-443-35046-6,Fandango Movies - Times + Tickets,81924096,291787,589,4,5,8.6,4+,Entertainment,37,4,1,1,96,0
10.42.0.42-85.93.5.109-48953-80-6,iCab Mobile (Web Browser),19451904,2441,4,4,5,9.9,17+,Utilities,38,4,12,1,96,0
10.42.0.151-69.147.82.60-56405-443-6,iRagdoll - Ragdoll Physics,118683648,1372,25,4,4,1.8.3,12+,Games,37,2,1,1,2916,1
10.42.0.211-64.71.142.96-53660-443-6,Proloquo2Go - Symbol-based AAC,723764224,773,10,4,3.5,5.0.1,4+,Education,37,5,3,1,61,0
10.42.0.42-14.29.93.243-52857-80-6,Dictionary.com Dictionary & Thesaurus,111275008,200047,177,4,4,7.1.3,4+,Reference,37,0,1,1,413,1
172.217.3.106-10.42.0.42-443-60131-6,20 Minutes.fr - l'actualité en continu,109616128,112,0,3.5,0,5.0.11,12+,News,37,5,17,1,469,0
183.3.235.80-10.42.0.151-80-40065-6,The Masters Tournament,120725504,148160,63,4.5,3.5,9.0.701,4+,Sports,37,5,1,1,96,0
172.217.3.106-10.42.0.211-443-60594-6,myAT&T,68491264,108507,628,3,3,5.3,4+,Utilities,37,5,2,1,0,0
10.42.0.211-23.203.49.224-36526-443-6,SFR TV,122153984,46,0,3,0,7.3.0,4+,Entertainment,37,5,1,1,96,0
10.42.0.211-23.46.197.118-41352-443-6,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,51427,874,4,5,7.7.0,4+,Photo & Video,37,5,1,1,681,0
203.205.158.61-10.42.0.211-80-60014-6,StickWars,17010688,53821,165,3.5,4,1.8.9,12+,Games,43,1,1,0,106,0
10.42.0.151-23.66.240.213-55027-80-6,Indeed Job Search,3691520,38681,563,4,4.5,4.3,4+,Business,37,3,28,1,806,0
172.217.12.174-10.42.0.211-443-35221-6,World Cup Table Tennis™,31387648,17776,6,4,5,4.6.1,4+,Games,37,0,11,1,96,1
216.58.219.228-10.42.0.211-443-54688-6,WhatsApp Messenger,135044096,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1,96,1
8.0.6.4-8.6.0.1-0-0-0,"iStudiez Pro – Homework, Schedule, Grades",55815168,7308,15,4,4.5,1.9.1,4+,Productivity,37,5,30,1,108,1
172.217.10.35-10.42.0.211-80-39600-6,Zillow Real Estate - Homes for Sale & for Rent,132632576,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,37,5,1,1,96,1
10.42.0.151-10.42.0.1-4179-53-17,2XL Supercross,270729216,6093,3,4,5,1.2.1,4+,Games,37,5,7,1,77,0
10.42.0.42-23.208.87.120-57700-80-6,Pocket Tanks Deluxe,39827456,5452,39,4.5,4.5,2.3.1,9+,Games,38,5,1,1,326,0
10.42.0.42-66.198.24.253-57711-443-6,Wells Fargo Mobile,57328640,43064,216,3,2.5,3.55,4+,Finance,37,0,2,1,4265,0
10.42.0.211-52.84.37.172-40018-443-6,radio.de - Der Radioplayer,40717312,64,9,4.5,5,4.0.5,4+,Music,37,5,14,1,61,0
10.42.0.151-112.90.74.178-48648-80-6,AutoScout24 - mobile used & new car market,141136896,220,2,4.5,5,9.1.10,4+,Productivity,37,5,13,1,62,0
10.42.0.211-52.84.40.205-47600-443-6,Sky Burger - Build & Match Food Free,146228224,114096,2157,4.5,4,3.0.3,4+,Games,37,5,3,1,96,1
10.42.0.151-23.194.140.73-46795-443-6,MindNode – Delightful Mind Mapping,52294656,1296,4,4,5,4.5.3,4+,Productivity,37,4,13,1,546,1
182.22.31.252-10.42.0.151-443-50779-6,Packing Pro,16332800,1293,31,4,5,12.2,4+,Travel,37,5,11,1,192,1
10.42.0.151-10.42.0.1-16886-53-17,USAA Mobile,164382720,19946,13,4,2.5,7.32.3,4+,Finance,37,5,1,1,318,0
172.217.12.170-10.42.0.211-443-41214-6,The Moron Test,45712384,88613,392,4,4.5,6.3.1,4+,Entertainment,37,5,1,1,653,0
10.42.0.211-64.71.142.124-55657-443-6,Sunday Lawn,16086016,107727,55,3.5,4.5,1.41.1,4+,Games,37,3,1,1,192,0
172.217.11.14-10.42.0.211-443-55117-6,Peggle Classic,223805440,21416,974,4.5,4.5,1.7.2,4+,Games,43,0,5,1,57,0
10.42.0.42-58.220.11.230-52223-80-6,SmartGo Player,22159360,533,27,4,4,2.5.1,4+,Games,37,3,9,1,192,1
202.77.129.150-10.42.0.151-80-51631-6,I Am T-Pain 2.0,20542280,32650,754,3.5,3.5,2.0.4,12+,Music,43,1,1,1,96,1
175.100.207.231-10.42.0.211-80-55879-6,TextNow - Unlimited Text + Calls,130637824,164963,69,3.5,4,8.5.1,4+,Social Networking,37,5,3,1,275,1
10.42.0.211-10.42.0.1-16906-53-17,Boating Weather,8900608,141,15,3,3,4.5,4+,Weather,40,0,1,1,996,1
10.42.0.1-10.42.0.42-53-16788-17,Best Buy,180500480,80424,46,4,4.5,10.11.0,4+,Shopping,37,5,2,1,0,0
10.42.0.211-114.134.80.163-57192-443-6,I Dig It,19853312,17190,180,4,4.5,1.12,4+,Games,40,0,1,1,80,1
10.42.0.211-31.13.69.195-56545-443-6,Unblock Me,42926080,7973,127,4,5,1.5.95,4+,Games,40,5,15,1,66,0
10.42.0.42-111.206.25.159-46340-80-6,Sonic The Hedgehog,36692992,19621,1191,4,4.5,2.1.2,4+,Games,37,5,1,1,71,1
172.217.12.163-10.42.0.211-443-44040-6,10 Pin Shuffle Pro Bowling,36647936,7315,138,4,4.5,2.01,4+,Games,37,5,6,1,445,0
208.80.154.224-10.42.0.211-443-47231-6,Sky News,91697152,118,0,3,0,4.6,12+,News,37,5,1,1,96,0
10.42.0.211-121.12.98.62-41147-80-6,"ESPN: Get scores, news, alerts & watch live sports",51538944,290996,150,3.5,3.5,5.7.1,4+,Sports,37,5,2,1,81,0
10.42.0.211-123.125.46.161-49632-80-6,LiveATC Air Radio,8302592,2785,90,4,4,1.9.0,4+,Travel,37,5,26,1,192,1
172.217.12.206-10.42.0.151-443-37160-6,The Sims 3,430128128,54408,65,3.5,2,1.4.10,12+,Games,37,5,8,1,123,0
157.240.18.36-10.42.0.42-443-56022-6,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,8138,107,4,4.5,2.89,4+,Games,37,5,13,1,96,1
172.217.10.227-10.42.0.211-443-40737-6,Guess My Age  Math Magic,767126,123190,68841,3,3,1.1,4+,Education,47,0,1,1,73,0
10.42.0.211-119.146.74.33-50805-443-6,Crush the Castle,12996628,23810,582,3.5,4,1.5,12+,Games,45,0,1,1,80,0
216.58.219.227-10.42.0.151-443-38221-6,2016 U.S. Open Golf Championship,139545600,54192,32,4,2,8.0.263,4+,Sports,37,0,1,1,57,1
10.42.0.211-10.42.0.1-55671-53-17,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,20953,481,4,4,8.1,4+,Sports,37,5,1,1,96,1
172.217.11.14-10.42.0.151-443-54822-6,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,71609,99,4.5,4,11.9,12+,Music,37,4,14,1,96,0
172.217.10.78-10.42.0.151-443-42200-6,NBC News,52951040,32881,7,3.5,2,5.11.0,12+,News,37,5,1,1,96,1
10.42.0.211-104.254.66.16-47478-80-6,"Grindr - Gay and same sex guys chat, meet and date",80409600,23201,14,2.5,2,3.9.1,17+,Social Networking,37,5,5,1,371,0
206.126.112.141-10.42.0.151-443-37248-6,Whole Foods Market,137312256,17906,4,3,3,8.3.17,4+,Shopping,37,5,1,1,114,1
10.42.0.211-36.110.210.167-55476-80-6,NAVIGON Europe,144412672,927,3,3.5,2.5,2.17,4+,Navigation,37,2,21,1,554,0
10.42.0.211-106.39.169.66-51882-80-6,Virtual Families,27746273,18920,3014,3.5,4.5,1.1.2,9+,Games,47,0,1,1,212,1
10.42.0.211-104.43.254.159-54229-443-6,Sparkasse+,119648256,30,0,3,0,3.1.3,4+,Finance,37,0,3,1,66,0
172.217.10.106-10.42.0.42-443-49651-6,Sparkasse - Your mobile branch,119574528,77,1,3,4,3.1.3,4+,Finance,37,0,3,1,106,0
172.217.12.170-10.42.0.211-443-33885-6,Sleep Cycle alarm clock,79315968,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,37,5,13,1,478,1
10.42.0.211-23.203.49.224-39841-443-6,FACEinHOLE®,12818432,4016,1,4,5,5.7,12+,Photo & Video,37,5,1,1,363,1
10.42.0.211-23.206.166.62-42575-80-6,Harvest - Select the Best Produce,18165760,299,28,4,4.5,3.1,4+,Food & Drink,38,0,1,1,106,1
10.42.0.151-10.42.0.1-3790-53-17,WORMS,253834240,5758,9,4,3,2.6,12+,Games,40,0,1,1,637,0
10.42.0.151-76.13.28.70-33298-443-6,Pixel Starships™ : 8Bit MMORPG,69083136,5565,140,4.5,4.5,0.39,9+,Games,37,5,17,1,106,0
10.42.0.42-104.97.95.172-57436-80-6,Traffic Rush,8573952,213092,51,3.5,4.5,1.45.1,9+,Games,37,3,1,1,61,1
172.217.10.142-10.42.0.42-443-60830-6,MyRadar NOAA Weather Radar Forecast,127284224,150158,3392,4.5,5,5.1.4,4+,Weather,37,2,8,1,6673,1
10.42.0.211-54.192.38.154-53341-443-6,Resident Evil 4: PLATINUM,81374398,6046,446,4,4,1.04.10,12+,Games,47,0,1,1,641,0
10.42.0.211-64.71.142.95-42886-443-6,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,345046,3040,4.5,4.5,4.24,4+,Navigation,37,5,36,1,40,1
172.217.6.234-10.42.0.151-443-49966-6,Cartoon Wars,13216994,35930,262,3.5,4,114,12+,Games,43,0,1,1,786,0
140.205.172.65-10.42.0.211-443-57261-6,Moto X Mayhem,21010210,22557,526,4,4,1.8.7,4+,Games,47,0,1,1,915,0
10.42.0.42-123.125.115.164-53676-443-6,Fantasy Football Manager - FFM for FPL,35998720,292,1,3,5,9.3,17+,Sports,37,1,1,1,88,1
202.77.129.185-10.42.0.211-80-45813-6,Spotify Music,132510720,878563,8253,4.5,4.5,8.4.3,12+,Music,37,5,18,1,0,1
203.130.53.126-10.42.0.211-80-38980-6,McDo France,37001216,22,0,3.5,0,4.0.16,4+,Food & Drink,37,0,30,1,57,0
172.217.9.227-10.42.0.211-80-45047-6,PGA Championship 2016 – Baltusrol Golf Club,64147456,10472,58,3.5,2,8.1,17+,Sports,37,5,1,0,96,1
172.217.12.196-10.42.0.211-443-49324-6,BFMTV : l'info en continu,100779008,115,70,4,5,5.0.3,17+,News,37,4,1,0,72,0
